#g_name	taxID
gene38186	392033
gene38187	1457286
gene38188	6231
gene38189	1457286
gene38190	1206794
gene38191	1206794
gene38192	6231
gene38193	1457286
gene38194	1457286
gene38195	6231
gene38196	44578
gene38197	1457286
gene38174	1206794
gene38173	6231
gene38172	1206794
gene38171	33213
gene38145	1234261
gene38146	1234261
gene38147	1457286
gene38148	1206794
gene38150	36086
gene38151	1457286
gene38152	182803
gene38153	1206794
gene38154	1206794
gene38155	33317
gene38156	6329
gene38199	1457286
gene38157	6231
gene38159	1457286
gene38160	10195
gene38161	1457286
gene38162	1457286
gene38163	1457286
gene38164	6231
gene38165	1457286
gene38166	1206794
gene38167	1457286
gene38169	1457286
gene38170	1457286
gene38158	1457286
gene37855	13164
gene37854	6231
gene37853	1457286
gene37531	1457286
gene37532	1457286
gene37533	1206794
gene37534	1206794
gene37536	6333
gene37537	1457286
gene37538	33317
gene37539	1457286
gene37540	1206794
gene37541	1206794
gene37542	1206794
gene37543	1457286
gene37544	117571
gene37545	6236
gene37546	1206794
gene37548	1457286
gene37549	6231
gene37550	6231
gene37551	1206794
gene37552	6333
gene37553	1457286
gene37554	6231
gene37555	1234261
gene37530	318546
gene37556	33317
gene37529	241478
gene37527	33213
gene37503	1206794
gene37504	6231
gene37505	6656
gene37506	6231
gene37507	1457286
gene37508	6333
gene37509	1457286
gene37510	6347
gene37511	1457286
gene37512	1457286
gene37513	1457286
gene37514	6231
gene37515	1457286
gene37516	1457286
gene37517	1457286
gene37518	6231
gene37519	6231
gene37520	33317
gene37521	119089
gene37523	72041
gene37524	33317
gene37525	33317
gene37526	33317
gene37528	1457286
gene37557	6452
gene37558	6231
gene37559	1457286
gene37590	33317
gene37591	1206794
gene37592	1206794
gene37593	33392
gene37595	7898
gene37596	1206794
gene37597	33213
gene37598	1457286
gene37599	33317
gene37600	33317
gene37602	1457286
gene37603	1206794
gene37604	33340
gene37605	1457286
gene37606	33317
gene37607	1206794
gene37608	6656
gene37609	1206794
gene37610	1206794
gene37611	1457286
gene37612	1457286
gene37613	1457286
gene37614	1457286
gene37589	6231
gene37588	6236
gene37587	119089
gene37586	1457286
gene37560	44578
gene37561	6333
gene37562	1206794
gene37563	1206794
gene37564	1206794
gene37565	1457286
gene37566	1457286
gene37567	1457286
gene37568	1206794
gene37569	33317
gene37571	119089
gene37502	1206794
gene37572	1206794
gene37575	123851
gene37576	1206795
gene37577	1457286
gene37578	1206794
gene37579	6231
gene37580	1457286
gene37581	1206794
gene37582	1206794
gene37583	33317
gene37584	1457286
gene37585	1457286
gene37574	1457286
gene37615	1457286
gene37501	1457286
gene37498	1457286
gene37410	1457286
gene37411	1457286
gene37412	36086
gene37413	34506
gene37414	1457286
gene37415	1457286
gene37416	1206794
gene37417	197562
gene37418	6231
gene37419	6231
gene37420	1457286
gene37422	1457286
gene37425	44578
gene37426	33317
gene37427	1457286
gene37428	1206794
gene37429	33317
gene37430	2038154
gene37431	392033
gene37432	1206794
gene37433	1457286
gene37434	230148
gene37435	1206794
gene37408	119089
gene37436	33392
gene37407	1457286
gene37405	1457286
gene37382	1457286
gene37383	2163413
gene37384	1206794
gene37385	6329
gene37386	1457286
gene37387	6101
gene37388	1206794
gene37389	7654
gene37390	1206794
gene37391	1206794
gene37392	6101
gene37393	1206794
gene37394	158441
gene37395	319348
gene37396	1457286
gene37397	1457286
gene37398	33213
gene37399	241478
gene37400	1457286
gene37401	1457286
gene37402	6329
gene37403	36087
gene37404	6231
gene37406	6231
gene37437	1206794
gene37438	450948
gene37439	456900
gene37472	1206794
gene37473	1457286
gene37474	6231
gene37475	1457286
gene37476	79782
gene37477	1457286
gene37478	1457286
gene37479	6231
gene37480	1457286
gene37481	1457286
gene37482	1457286
gene37485	33317
gene37486	6656
gene37487	1457286
gene37488	6231
gene37489	1206794
gene37491	74975
gene37492	1457286
gene37493	1457286
gene37494	7400
gene37495	6973
gene37496	6333
gene37497	1206794
gene37471	1564500
gene37470	2072580
gene37469	6231
gene37468	1206794
gene37440	1457286
gene37441	1457286
gene37442	6231
gene37443	1206794
gene37444	1457286
gene37445	1234261
gene37446	50429
gene37448	6656
gene37449	2697495
gene37450	33317
gene37454	33317
gene37499	1457286
gene37455	1093978
gene37457	1206794
